,coord,country,id,name
101814,"{'lon': -79.879173, 'lat': 8.86056}",PA,3701148,Santa Rita
102419,"{'lon': 25.58333, 'lat': 55.966671}",LT,595213,Rokiskis
26529,"{'lon': -63.553761, 'lat': 10.54663}",VE,3749457,Sampayo
42975,"{'lon': 87.550003, 'lat': 44.200001}",CN,1529085,Wujiaqu
4009,"{'lon': 10.85, 'lat': 48.366669}",DE,2829790,Stadtbergen
90414,"{'lon': -39.586109, 'lat': -3.68667}",BR,3397941,Itapage
7019,"{'lon': 137.901077, 'lat': 36.299911}",JP,1849817,Toyoshina
194941,"{'lon': 32.497318, 'lat': 39.432121}",TR,312289,Haymana
181506,"{'lon': 5.62222, 'lat': 52.084999}",NL,2751385,Lunteren
26344,"{'lon': -115.346153, 'lat': 51.08757}",CA,7871396,Canmore
12129,"{'lon': -16.133329, 'lat': 14.4}",SN,2246789,Pargui
135377,"{'lon': 6.01667, 'lat': 51.783329}",DE,2884779,Kranenburg
47527,"{'lon': -0.1311, 'lat': 44.436272}",FR,3016797,Gajac
2364,"{'lon': 13.97306, 'lat': 46.125}",SI,3239091,Občina Cerkno
72334,"{'lon': 6.85, 'lat': 49.8167}",DE,6554726,Detzem
125753,"{'lon': 100.974808, 'lat': 22.78863}",CN,1794209,Simao
100357,"{'lon': 24.91667, 'lat': 43.433331}",BG,726368,Totleben
80282,"{'lon': 11.28333, 'lat': 51.150002}",DE,2888450,Kleinneuhausen
196986,"{'lon': -88.502548, 'lat': 38.77227}",US,4243551,Louisville
58791,"{'lon': -112.418518, 'lat': 50.166771}",CA,5948749,Enchant
118045,"{'lon': -118.282021, 'lat': 33.831409}",US,5334519,Carson
93813,"{'lon': 8.08644, 'lat': 47.467079}",CH,7669824,Oberzeihen
82275,"{'lon': 3.08999, 'lat': 41.978119}",ES,3113784,Peratallada
130186,"{'lon': 112.66748, 'lat': 26.693199}",CN,6645583,Yunji
113380,"{'lon': 12.15, 'lat': 45.547501}",IT,3173852,Martellago
133060,"{'lon': 15.29758, 'lat': 50.20718}",CZ,3070822,Mestec Kralove
78079,"{'lon': 10.33333, 'lat': 53.200001}",DE,2857890,Oerzen
71390,"{'lon': 10.8667, 'lat': 48.599998}",DE,6557132,Ellgau
188242,"{'lon': 19.2005, 'lat': 50.923599}",PL,3091269,Mykanow
130827,"{'lon': 107.906212, 'lat': 34.30994}",CN,7367778,Duanjia
114259,"{'lon': 5.99691, 'lat': 52.87545}",NL,2744194,Wolvega
181180,"{'lon': 12.1867, 'lat': 11.7443}",NG,2345283,Dankalwa
59955,"{'lon': -93.099998, 'lat': 17.41667}",MX,3526698,Ixtacomitan
42302,"{'lon': 152.600006, 'lat': -27.966669}",AU,2166832,Fassifern Valley
147329,"{'lon': -3.29624, 'lat': 42.477951}",ES,6356393,Carrias
90239,"{'lon': -48.711391, 'lat': -22.50222}",BR,3458245,Macatuba
110248,"{'lon': 113.5, 'lat': 27.66667}",CN,1803616,Liling
179008,"{'lon': 35.69611, 'lat': 31.065559}",JO,250540,Al Mazar
148080,"{'lon': 1.86098, 'lat': 42.252892}",ES,3129017,Baga
50359,"{'lon': -0.42774, 'lat': 44.796661}",FR,2998410,Lignan-de-Bordeaux
26827,"{'lon': 70.416672, 'lat': 34.333328}",AF,1132366,Wilāyat-e Nangarhār
6793,"{'lon': 77.199997, 'lat': 27.23333}",IN,1262296,Nadbai
55917,"{'lon': -7.54547, 'lat': 40.20171}",PT,2733008,Vales
76149,"{'lon': 6.58333, 'lat': 49.98333}",DE,2871549,Metterich
58929,"{'lon': -57.13142, 'lat': 51.416801}",CA,5903664,Blanc-Sablon
42831,"{'lon': 114.300003, 'lat': 26.91667}",CN,1808755,Hechuan
122434,"{'lon': 3.15129, 'lat': 50.87384}",BE,2793068,Ledegem
17827,"{'lon': 106.666672, 'lat': 11.16667}",VN,1905475,Tỉnh Bình Dương
195469,"{'lon': 33.083328, 'lat': -3}",TZ,153772,Misasi
80920,"{'lon': -3.6360200000000003, 'lat': 38.095188}",ES,2515045,Linares
10682,"{'lon': 9.64678, 'lat': 47.309132}",AT,2774295,Klaus
91399,"{'lon': -51.247219, 'lat': -27.104719}",BR,3446977,Tangará
163491,"{'lon': -86.683327, 'lat': 15.35}",HN,3604414,Nombre de Jesus
114460,"{'lon': 120.87989, 'lat': 14.42922}",PH,1697486,Noveleta
16609,"{'lon': -5.22079, 'lat': 33.43824}",MA,6546378,Azrou
129808,"{'lon': 120.966667, 'lat': 44.616669}",CN,2035930,Lubei
202614,"{'lon': -84.073013, 'lat': 42.660591}",US,4993272,Fowlerville
171495,"{'lon': 78.816673, 'lat': 17.48333}",IN,1270789,Gudur
89747,"{'lon': -51.533611, 'lat': -29.256109}",BR,3462557,Garibaldi
155287,"{'lon': 6.13333, 'lat': 45.033329}",FR,6433254,Mont-de-Lans
88405,"{'lon': -7.4, 'lat': 55.049999}",IE,2965905,Burnfoot
97509,"{'lon': 15.5217, 'lat': 51.560902}",PL,7533337,Szprotawa
99362,"{'lon': 19.098061, 'lat': 45.594719}",RS,3190335,Sonta
181893,"{'lon': 11.33756, 'lat': 60.81712}",NO,3146897,Loten
169493,"{'lon': 108.552498, 'lat': -7.6579}",ID,8056820,Sukasari
7785,"{'lon': -8.70027, 'lat': 41.191002}",PT,2738348,Leca da Palmeira
200325,"{'lon': -95.056038, 'lat': 29.81884}",US,4697652,Highlands
90209,"{'lon': -36.203331, 'lat': -6.45528}",BR,3393867,Nova Floresta
71593,"{'lon': 14.45251, 'lat': 52.608421}",DE,2805119,Zechin
195738,"{'lon': -86.438042, 'lat': 33.344002}",US,4066335,Harpersville
57371,"{'lon': -78.116241, 'lat': 48.566879}",CA,5884588,Amos
106090,"{'lon': 124.199997, 'lat': 13.58333}",PH,1717651,Cavinitan
193957,"{'lon': 101.857887, 'lat': 17.12356}",TH,1600435,Nong Hin
127818,"{'lon': 110.68190799999999, 'lat': 19.80316}",CN,1813091,Dazhipo
209426,"{'lon': 16.6, 'lat': 38.916672}",IT,2523125,Siano
4217,"{'lon': 12.85, 'lat': 50.700001}",DE,2823081,Thalheim
3807,"{'lon': 10.02258, 'lat': 48.40163}",DE,2857792,Offenhausen
66285,"{'lon': 8.73333, 'lat': 50.4333}",DE,6553212,Rockenberg
49206,"{'lon': 0.68105, 'lat': 44.98415}",FR,3017573,Fouleix
172136,"{'lon': 15.39519, 'lat': 37.976261}",IT,2523601,Roccalumera
77409,"{'lon': 9.18333, 'lat': 53.566669}",DE,2918065,Gräpel
182315,"{'lon': -82.300003, 'lat': 8.53333}",PA,3708948,Gualaca
82468,"{'lon': -6.28333, 'lat': 37.683331}",ES,2516514,Huertas de Medialegua
92663,"{'lon': 6.27913, 'lat': 46.237122}",CH,7286169,Jussy
102009,"{'lon': 29.35833, 'lat': 46.842499}",MD,618207,Hîrbovăţ
131035,"{'lon': 107.130188, 'lat': 34.642078}",CN,7428592,Qianyang Chengguanzhen
108869,"{'lon': -111.350807, 'lat': 47.505508}",US,5653814,Garrett Mobile Home Park
88888,"{'lon': 3.6, 'lat': 50.75}",BE,2793992,Krekelberg
